Annee,Nb_Cartes,Source,Nb_PremCarte,%_Inf_26_ans,%_Bac+3,%_Pigistes&CDD,%_Act_prealables
1945,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA
1955,6836,Enquête 1966,NA,NA,NA,NA,NA
1956,7027,Enquête 1966,NA,NA,NA,NA,NA
1957,7030,Enquête 1966,NA,NA,NA,NA,NA
1958,7492,Enquête 1966,NA,NA,NA,NA,NA
1959,7824,Enquête 1966,NA,NA,NA,NA,NA
1960,8092,Enquête 1966,NA,NA,NA,NA,NA
1961,8806,Enquête 1966,NA,NA,NA,NA,NA
1962,9185,Enquête 1966,NA,NA,NA,NA,NA
1963,9424,Enquête 1966,NA,NA,NA,NA,NA
1964,9879,Enquête 1966,NA,NA,NA,NA,NA
1965,9990,Enquête 1966,NA,NA,NA,NA,NA
1966,10340,Enquête 1966,NA,5.5,21,8.08,59
1967,10696,Enquête CEREQ,NA,NA,NA,NA,NA
1968,10758,Enquête CEREQ,NA,NA,NA,NA,NA
1969,10754,Enquête CEREQ,NA,NA,NA,NA,NA
1970,11943,Enquête CEREQ,NA,NA,NA,NA,NA
1971,12429,Enquête CEREQ,NA,NA,NA,NA,NA
1972,12558,Enquête CEREQ,NA,NA,NA,NA,NA
1973,13018,Enquête CEREQ,NA,NA,NA,8.3,NA
1974,13349,50 ans de…,NA,NA,NA,NA,NA
1975,13635,50 ans de…,NA,NA,NA,NA,NA
1976,14236,50 ans de…,NA,NA,NA,NA,NA
1977,14673,50 ans de…,NA,NA,NA,NA,NA
1978,15563,50 ans de…,NA,NA,NA,NA,NA
1979,16117,50 ans de…,NA,NA,NA,NA,NA
1980,16619,50 ans de…,NA,NA,NA,NA,NA
1981,18041,50 ans de…,NA,NA,NA,10.91,NA
1982,18817,50 ans de…,NA,NA,NA,NA,NA
1983,19982,50 ans de…,NA,3,NA,11.07,NA
1984,20568,50 ans de…,NA,NA,NA,NA,NA
1985,21749,50 ans de…,NA,NA,NA,NA,NA
1986,22621,Les j fc en 1990,NA,NA,NA,NA,NA
1987,23227,Les j fc en 1990,NA,NA,NA,NA,NA
1988,24451,Les j fc en 1990,NA,NA,NA,NA,NA
1989,25865,Les j fc en 1990,NA,NA,NA,NA,NA
1990,26614,Les j fc en 1990,NA,NA,53.4,14.74,54.5
1991,27362,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1992,27862,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1993,27939,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1994,28210,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1995,28471,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1996,29153,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1997,30003,Devillard et al. 2001 p. 163,NA,NA,NA,NA,NA
1998,30510,Devillard et al. 2001 p. 163,NA,NA,60.9,NA,43.5
1999,31902,Devillard et al. 2001 p. 163,NA,1.5,NA,17.9,NA
2000,33314,NA,2703,NA,NA,NA,NA
2001,34832,NA,3200,NA,NA,NA,NA
2002,35612,NA,2499,NA,NA,NA,NA
2003,36113,NA,2232,NA,NA,18.1,NA
2004,36520,NA,2090,NA,NA,NA,NA
2005,36828,NA,2055,NA,NA,NA,NA
2006,37423,NA,2252,NA,NA,NA,NA
2007,37738,NA,2229,NA,NA,NA,NA
2008,37811,NA,2116,NA,71.6,NA,26.6
2009,37904,NA,2081,NA,NA,NA,NA
2010,37415,NA,1855,NA,NA,20,NA
2011,37286,NA,1936,NA,NA,NA,NA
2012,36815,CCIJP,NA,1.4,NA,21.8,NA
2013,36823,CCIJP,NA,NA,NA,NA,NA
